account_id,customer_id,account_type,wallet_tier,account_status,opened_date,daily_limit_egp,current_balance_egp
A000001,C025947,Personal Wallet,Basic,Active,2022-06-24,10000.0,741.42
A000002,C016973,Business Wallet,Business,Active,2022-03-03,80000.0,19581.52
A000003,C003186,Personal Wallet,Basic,Active,2024-09-22,10000.0,1212.34
A000004,C011240,Personal Wallet,Silver,Active,2025-02-03,20000.0,5008.01
A000005,C006833,Personal Wallet,Silver,Active,2023-08-12,20000.0,1361.02
A000006,C036170,Personal Wallet,Basic,Active,2026-01-19,10000.0,1252.74
A000007,C038996,Personal Wallet,Silver,Active,2024-03-20,20000.0,7567.2
A000008,C013693,Personal Wallet,Basic,Active,2023-12-23,10000.0,117.02
A000009,C007136,Personal Wallet,Gold,Active,2022-11-19,40000.0,3308.34
A000010,C016453,Personal Wallet,Basic,Active,2025-01-12,10000.0,2340.92
A000011,C001345,Personal Wallet,Silver,Active,2025-05-19,20000.0,814.95
A000012,C036203,Personal Wallet,Gold,Active,2023-07-16,40000.0,2240.81
A000013,C035529,Personal Wallet,Gold,Active,2022-01-18,40000.0,3504.55
A000014,C035784,Personal Wallet,Gold,Active,2024-11-12,40000.0,2468.06
A000015,C019902,Personal Wallet,Silver,Active,2022-02-25,20000.0,2091.16
A000016,C032753,Personal Wallet,Silver,Active,2022-04-04,20000.0,981.07
A000017,C012489,Personal Wallet,Gold,Active,2024-09-07,40000.0,1553.39
A000018,C030949,Personal Wallet,Silver,Active,2026-03-19,20000.0,440.28
A000019,C006393,Personal Wallet,Basic,Active,2023-12-09,10000.0,1978.53
A000020,C030417,Business Wallet,Business,Active,2023-04-19,80000.0,2981.93
A000021,C024615,Personal Wallet,Basic,Active,2025-09-06,10000.0,4089.7
A000022,C019350,Personal Wallet,Basic,Active,2022-03-13,10000.0,2158.93
A000023,C011058,Personal Wallet,Basic,Active,2022-02-24,10000.0,1537.68
A000024,C019852,Personal Wallet,Basic,Active,2023-12-15,10000.0,590.21
