merchant_id,merchant_name,merchant_category,merchant_size,onboarding_date,merchant_status,settlement_cycle,registered_governorate,registered_city
M00001,Family Care 0001,Pharmacy,Micro,2022-03-09,Active,T+1,Cairo,Ain Shams - Central
M00002,Cairo Tech 0002,Electronics,Micro,2021-09-23,Active,T+0,Alexandria,Sidi Gaber - Central
M00003,Delta Academy 0003,Education,Small,2025-11-13,Active,T+1,Cairo,Maadi - Central
M00004,Nile Market 0004,Grocery,Medium,2023-02-07,Active,T+2,Kafr El Sheikh,Kafr El Sheikh - Central
M00005,Cairo Pharmacy 0005,Pharmacy,Micro,2021-11-19,Active,T+1,Alexandria,Stanley - Central
M00006,Metro Style 0006,Fashion,Micro,2022-05-14,Active,T+1,Gharbia,El Mahalla El Kubra - Central
M00007,Sun Learning 0007,Education,Micro,2022-08-19,Active,T+1,Cairo,Ain Shams - Central
M00008,Elite Store 0008,E-Commerce,Small,2025-10-30,Active,T+1,Qalyubia,Khanka
M00009,Nile Pharmacy 0009,Pharmacy,Micro,2021-08-13,Active,T+1,Cairo,Nasr City - Central
M00010,Royal Style 0010,Fashion,Small,2021-10-06,Active,T+1,Dakahlia,Talkha - Central
M00011,Nile Online 0011,E-Commerce,Micro,2025-03-11,Active,T+1,Giza,6th of October
M00012,Green Care 0012,Pharmacy,Micro,2021-04-05,Active,T+2,North Sinai,Bir El Abd
M00013,Golden Fuel 0013,Fuel,Micro,2024-02-13,Active,T+1,Assiut,New Assiut
M00014,Family Pharmacy 0014,Pharmacy,Micro,2022-12-18,Active,T+1,Giza,Faisal
M00015,Metro Mart 0015,Grocery,Micro,2023-06-12,Active,T+2,Alexandria,Sidi Gaber
M00016,Urban Electronics 0016,Electronics,Micro,2023-01-01,Active,T+2,Alexandria,Miami - Central
M00017,Family Clinic 0017,Healthcare,Enterprise,2021-05-03,Active,T+2,Cairo,New Cairo - Central
M00018,Smart Academy 0018,Education,Small,2022-12-22,Active,T+1,Cairo,Downtown
M00019,Family Store 0019,E-Commerce,Enterprise,2021-09-27,Active,T+1,Cairo,Ain Shams - Central
M00020,Metro Electronics 0020,Electronics,Small,2022-01-11,Active,T+1,Gharbia,Zefta - Central
M00021,Cairo Transit 0021,Transportation,Enterprise,2023-04-28,Offboarded,T+0,Dakahlia,Talkha
M00022,Cairo Clinic 0022,Healthcare,Medium,2023-10-03,Active,T+0,Qena,Qus
M00023,Nova Market 0023,Grocery,Small,2021-04-05,Active,T+2,Giza,6th of October - Central
M00024,Delta Tech 0024,Electronics,Micro,2021-03-09,Active,T+1,Matrouh,Marsa Matrouh
M00025,Sun Mart 0025,Grocery,Micro,2025-07-13,Active,T+1,Cairo,New Cairo
M00026,Nova Cafe 0026,Restaurants,Small,2023-09-29,Active,T+1,Cairo,Maadi - Central
M00027,Sun Style 0027,Fashion,Small,2022-07-29,Active,T+1,Giza,Sheikh Zayed
M00028,Nile Pharmacy 0028,Pharmacy,Medium,2025-09-27,Active,T+1,Giza,Sheikh Zayed
M00029,Nova Kitchen 0029,Restaurants,Micro,2022-12-17,Active,T+1,Cairo,Mokattam
M00030,Royal Care 0030,Pharmacy,Medium,2021-11-30,Active,T+2,Damietta,Ras El Bar
M00031,Blue Store 0031,E-Commerce,Micro,2022-03-16,Active,T+1,Cairo,Maadi - Central
